dataset_size,policy_name,func_id,trigger_type,total_invocations,total_cold_starts,total_idle_memory_mbs
100k,TADKPolicy(10s),416---753---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1613---493---pool22-300-128,workflow,136,1,2560.0
100k,TADKPolicy(10s),1449---753---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1927---753---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1132---559---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1870---753---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1493---339---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1585---311---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),745---320---pool23-400-256,APIG,55,3,15360.0
100k,TADKPolicy(10s),1361---1136---pool22-300-128,LTS,133,1,2560.0
100k,TADKPolicy(10s),400---418---pool22-300-128,workflow,1,1,2560.0
100k,TADKPolicy(10s),285---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),1956---646---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),168---499---pool22-300-128,TIMER,2,2,3840.0
100k,TADKPolicy(10s),577---631---pool22-300-128,APIG,7,1,2560.0
100k,TADKPolicy(10s),211---818---pool24-600-512,APIG,85,1,10240.0
100k,TADKPolicy(10s),240---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),477---240---pool22-300-128,unknown,14,1,2560.0
100k,TADKPolicy(10s),718---241---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1503---735---pool22-300-128,LTS,32,1,2560.0
100k,TADKPolicy(10s),1669---525---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),272---525---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1779---113---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),396---726---pool22-300-128,TIMER,2,2,3840.0
100k,TADKPolicy(10s),1023---535---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),8---470---pool23-400-256,APIG,43,1,5120.0
100k,TADKPolicy(10s),1298---310---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),910---535---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),1176---535---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),1815---714---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1583---470---pool23-400-256,APIG,2,1,5120.0
100k,TADKPolicy(10s),1736---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),828---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),59---525---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),508---525---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),379---735---pool22-300-128,LTS,26,2,5120.0
100k,TADKPolicy(10s),1278---535---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),1787---973---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),907---923---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1706---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),818---535---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),1216---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),405---535---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),254---67---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1984---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),2005---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),127---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),404---118---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1787---535---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),1256---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),405---973---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),724---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),827---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),515---130---pool22-300-128,unknown,2,2,5120.0
100k,TADKPolicy(10s),1171---631---pool22-300-128,APIG,1,1,2560.0
100k,TADKPolicy(10s),61---204---pool26-1000-1024,workflow,4,1,20480.0
100k,TADKPolicy(10s),1133---783---pool22-300-128,workflow,28,1,2560.0
100k,TADKPolicy(10s),1829---224---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),1176---973---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),2047---102---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1072---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),1575---418---pool22-300-128,LTS,4,2,5120.0
100k,TADKPolicy(10s),2105---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),1170---418---pool22-300-128,LTS,4,2,5120.0
100k,TADKPolicy(10s),1916---109---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),2099---794---pool22-300-128,TIMER,8,1,1920.0
100k,TADKPolicy(10s),484---1101---pool34-3400-4096,TIMER,1,1,61440.0
100k,TADKPolicy(10s),606---525---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1903---631---pool22-300-128,APIG,3,2,5120.0
100k,TADKPolicy(10s),1565---147---pool22-300-128,TIMER,9,1,1920.0
100k,TADKPolicy(10s),591---354---pool22-300-128,APIG-S TIMER-A workflow,1,1,1920.0
100k,TADKPolicy(10s),537---321---pool22-300-128,APIG,1,1,2560.0
100k,TADKPolicy(10s),63---418---pool22-300-128,TIMER,2,2,3840.0
100k,TADKPolicy(10s),2108---525---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),574---631---pool22-300-128,OBS,1,1,2560.0
100k,TADKPolicy(10s),1625---63---pool23-400-256,workflow,28,1,5120.0
100k,TADKPolicy(10s),1658---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),347---927---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),19---502---pool22-300-128,unknown,17,1,2560.0
100k,TADKPolicy(10s),925---502---pool22-300-128,unknown,17,1,2560.0
100k,TADKPolicy(10s),57---502---pool22-300-128,unknown,17,1,2560.0
100k,TADKPolicy(10s),1799---418---pool22-300-128,unknown,3,3,7680.0
100k,TADKPolicy(10s),343---192---pool22-300-128,workflow,2,1,2560.0
100k,TADKPolicy(10s),181---418---pool22-300-128,OBS,3,2,5120.0
100k,TADKPolicy(10s),681---187---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),848---735---pool22-300-128,LTS,1906,1,2560.0
100k,TADKPolicy(10s),377---102---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1104---767---pool34-3400-4096,unknown-A unknown,1,1,81920.0
100k,TADKPolicy(10s),589---631---pool24-600-512,unknown,1,1,10240.0
100k,TADKPolicy(10s),1090---392---pool22-300-128,unknown,9,1,2560.0
100k,TADKPolicy(10s),1139---392---pool22-300-128,APIG,2,2,5120.0
100k,TADKPolicy(10s),1597---313---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1979---1006---pool24-600-512,TIMER,1,1,7680.0
100k,TADKPolicy(10s),599---418---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),2034---48---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1065---927---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1800---709---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1929---722---pool24-600-512,OBS,5,1,10240.0
100k,TADKPolicy(10s),442---709---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),591---30---pool22-300-128,APIG-S TIMER-A workflow,1,1,1920.0
100k,TADKPolicy(10s),1944---278---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),298---709---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1330---415---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),88---337---pool26-1000-1024,unknown,11,1,20480.0
100k,TADKPolicy(10s),1224---923---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),292---631---pool22-300-128,unknown,3,1,2560.0
100k,TADKPolicy(10s),309---631---pool24-600-512,unknown,11,1,10240.0
100k,TADKPolicy(10s),729---936---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1430---502---pool22-300-128,unknown,3,2,5120.0
100k,TADKPolicy(10s),1393---502---pool22-300-128,unknown,3,2,5120.0
100k,TADKPolicy(10s),1982---834---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1541---1114---pool22-300-128,workflow,1,1,2560.0
100k,TADKPolicy(10s),2145---582---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1458---809---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),353---631---pool23-400-256,unknown,2,1,5120.0
100k,TADKPolicy(10s),709---111---pool22-300-128,OBS,1,1,2560.0
100k,TADKPolicy(10s),1258---418---pool22-300-128,OBS-A TIMER,1,1,1920.0
100k,TADKPolicy(10s),1696---418---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1263---582---pool23-400-256,OBS,1,1,5120.0
100k,TADKPolicy(10s),1351---173---custom.image.gpu-3400-4096,unknown,1,1,81920.0
100k,TADKPolicy(10s),478---97---pool30-1800-2048,APIG,8,1,40960.0
100k,TADKPolicy(10s),1505---740---pool26-1000-1024,DIS,1,1,20480.0
100k,TADKPolicy(10s),748---709---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1924---631---pool24-600-512,APIG,1,1,10240.0
100k,TADKPolicy(10s),489---303---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1388---353---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),531---923---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1237---130---pool22-300-128,unknown,1,1,2560.0
100k,TADKPolicy(10s),2054---966---pool22-300-128,TIMER,1,1,1920.0
100k,TADKPolicy(10s),1355---424---pool22-300-128,APIG,1,1,2560.0
100k,TADKPolicy(10s),1046---68---pool22-300-128,OBS,1,1,2560.0
100k,TADKPolicy(10s),470---966---pool22-300-128,TIMER,1,1,1920.0
